passenger_id,restaurant_name,date,meal_type,meal_time
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,The Ritz,1912-04-11,poultry,breakfast
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,Café Parisien,1912-04-11,poultry,lunch
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,First-Class Dining Saloon,1912-04-11,fish,dinner
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,Café Parisien,1912-04-12,meat,lunch
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,Verandah Cafe,1912-04-12,fish,dinner
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,Café Parisien,1912-04-13,fish,dinner
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,Verandah Cafe,1912-04-14,poultry,dinner
0ee5b915-66c7-42d4-ba2d-5c0703633ccc,Third-Class Dining Room,1912-04-11,vegetarian,dinner
0ee5b915-66c7-42d4-ba2d-5c0703633ccc,Third-Class Dining Room,1912-04-13,fish,breakfast
0cd09886-0f40-4df5-9518-10de16c729c8,Third-Class Dining Room,1912-04-11,poultry,breakfast
0cd09886-0f40-4df5-9518-10de16c729c8,Third-Class Dining Room,1912-04-11,vegetarian,lunch
0cd09886-0f40-4df5-9518-10de16c729c8,Third-Class Dining Room,1912-04-12,vegetarian,dinner
0cd09886-0f40-4df5-9518-10de16c729c8,Third-Class Dining Room,1912-04-13,poultry,breakfast
0cd09886-0f40-4df5-9518-10de16c729c8,Third-Class Dining Room,1912-04-13,fish,lunch
7972c206-6fc7-42bd-8329-8e7bed602cb8,The Ritz,1912-04-10,meat,breakfast
7972c206-6fc7-42bd-8329-8e7bed602cb8,First-Class Dining Saloon,1912-04-10,meat,dinner
7972c206-6fc7-42bd-8329-8e7bed602cb8,First-Class Dining Saloon,1912-04-11,vegetarian,lunch
7972c206-6fc7-42bd-8329-8e7bed602cb8,The Ritz,1912-04-11,meat,dinner
7972c206-6fc7-42bd-8329-8e7bed602cb8,Verandah Cafe,1912-04-12,vegetarian,lunch
7972c206-6fc7-42bd-8329-8e7bed602cb8,First-Class Dining Saloon,1912-04-12,vegetarian,dinner
7972c206-6fc7-42bd-8329-8e7bed602cb8,First-Class Dining Saloon,1912-04-13,poultry,lunch
7972c206-6fc7-42bd-8329-8e7bed602cb8,The Ritz,1912-04-13,poultry,dinner
7972c206-6fc7-42bd-8329-8e7bed602cb8,Café Parisien,1912-04-14,meat,breakfast
7972c206-6fc7-42bd-8329-8e7bed602cb8,The Ritz,1912-04-14,meat,lunch
31f5075b-252f-4fe8-9806-472e2e75a34a,Third-Class Dining Room,1912-04-10,poultry,dinner
31f5075b-252f-4fe8-9806-472e2e75a34a,Third-Class Dining Room,1912-04-13,meat,lunch
97544845-f25a-48f4-a544-a408eab2ed7a,Second-Class Dining Saloon,1912-04-10,vegetarian,lunch
97544845-f25a-48f4-a544-a408eab2ed7a,Second-Class Dining Saloon,1912-04-11,meat,dinner
97544845-f25a-48f4-a544-a408eab2ed7a,Second-Class Dining Saloon,1912-04-13,poultry,lunch
97544845-f25a-48f4-a544-a408eab2ed7a,Second-Class Dining Saloon,1912-04-14,meat,breakfast
97544845-f25a-48f4-a544-a408eab2ed7a,Second-Class Dining Saloon,1912-04-14,vegetarian,lunch
eea471ef-d405-4d53-8564-bfe633c8bdfa,Third-Class Dining Room,1912-04-13,fish,dinner
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-10,poultry,breakfast
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-10,poultry,lunch
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-10,meat,dinner
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,First-Class Dining Saloon,1912-04-11,meat,breakfast
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,Café Parisien,1912-04-11,meat,lunch
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-11,poultry,dinner
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,Verandah Cafe,1912-04-12,poultry,breakfast
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,First-Class Dining Saloon,1912-04-12,vegetarian,lunch
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-12,vegetarian,dinner
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-13,fish,lunch
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,First-Class Dining Saloon,1912-04-13,vegetarian,dinner
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,Verandah Cafe,1912-04-14,poultry,breakfast
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,First-Class Dining Saloon,1912-04-14,meat,lunch
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,The Ritz,1912-04-14,poultry,dinner
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-10,meat,breakfast
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-11,vegetarian,lunch
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-13,meat,breakfast
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-13,vegetarian,dinner
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-14,meat,breakfast
0daac79f-37ba-422f-92d8-d31b76db2047,Third-Class Dining Room,1912-04-14,fish,dinner
5abc7cb1-bf1a-47cd-ba0e-dfe055d7889d,Third-Class Dining Room,1912-04-10,poultry,dinner
5abc7cb1-bf1a-47cd-ba0e-dfe055d7889d,Third-Class Dining Room,1912-04-11,fish,dinner
d0720e08-33d9-4635-8013-2bb9742421fa,Third-Class Dining Room,1912-04-11,meat,breakfast
d0720e08-33d9-4635-8013-2bb9742421fa,Third-Class Dining Room,1912-04-13,fish,lunch
d0720e08-33d9-4635-8013-2bb9742421fa,Third-Class Dining Room,1912-04-13,meat,dinner
d0720e08-33d9-4635-8013-2bb9742421fa,Third-Class Dining Room,1912-04-14,fish,dinner
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-10,fish,breakfast
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-10,vegetarian,lunch
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-11,vegetarian,dinner
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-12,poultry,breakfast
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-12,poultry,lunch
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-12,fish,dinner
41b52864-e390-4d0b-8469-747c55b3c578,Second-Class Dining Saloon,1912-04-13,vegetarian,breakfast
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-10,fish,breakfast
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-10,meat,dinner
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-11,poultry,breakfast
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-11,fish,lunch
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-12,fish,breakfast
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-12,vegetarian,dinner
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-13,vegetarian,breakfast
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-13,fish,lunch
80c7f5a8-4f8c-41a5-bbb4-89f846145185,Second-Class Dining Saloon,1912-04-14,meat,breakfast
e2f03352-3802-450d-ab0f-663805545227,Third-Class Dining Room,1912-04-10,fish,lunch
e2f03352-3802-450d-ab0f-663805545227,Third-Class Dining Room,1912-04-11,vegetarian,dinner
e2f03352-3802-450d-ab0f-663805545227,Third-Class Dining Room,1912-04-12,poultry,dinner
e2f03352-3802-450d-ab0f-663805545227,Third-Class Dining Room,1912-04-13,vegetarian,dinner
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-10,poultry,breakfast
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-11,vegetarian,lunch
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-12,meat,lunch
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-12,meat,dinner
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-13,fish,breakfast
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,Second-Class Dining Saloon,1912-04-13,fish,dinner
9e21084d-4ab4-476f-802b-96ded745b7b2,Second-Class Dining Saloon,1912-04-11,meat,breakfast
9e21084d-4ab4-476f-802b-96ded745b7b2,Second-Class Dining Saloon,1912-04-12,meat,breakfast
9e21084d-4ab4-476f-802b-96ded745b7b2,Second-Class Dining Saloon,1912-04-12,meat,lunch
9e21084d-4ab4-476f-802b-96ded745b7b2,Second-Class Dining Saloon,1912-04-13,fish,lunch
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,First-Class Dining Saloon,1912-04-10,vegetarian,breakfast
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Café Parisien,1912-04-10,vegetarian,lunch
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Verandah Cafe,1912-04-11,fish,breakfast
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Café Parisien,1912-04-11,meat,lunch
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Verandah Cafe,1912-04-11,poultry,dinner
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,The Ritz,1912-04-12,poultry,dinner
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Verandah Cafe,1912-04-13,fish,breakfast
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,Café Parisien,1912-04-14,fish,dinner
0ce78cd0-2ca1-408b-ae3d-c4e1bbf013fb,Third-Class Dining Room,1912-04-11,fish,breakfast
0ce78cd0-2ca1-408b-ae3d-c4e1bbf013fb,Third-Class Dining Room,1912-04-12,vegetarian,breakfast
0ce78cd0-2ca1-408b-ae3d-c4e1bbf013fb,Third-Class Dining Room,1912-04-13,fish,dinner
827a11d9-04e9-4074-962b-65339f16ab54,Café Parisien,1912-04-10,poultry,breakfast
827a11d9-04e9-4074-962b-65339f16ab54,First-Class Dining Saloon,1912-04-10,poultry,lunch
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-10,poultry,dinner
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-11,meat,breakfast
827a11d9-04e9-4074-962b-65339f16ab54,The Ritz,1912-04-11,meat,dinner
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-12,poultry,breakfast
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-12,meat,lunch
827a11d9-04e9-4074-962b-65339f16ab54,First-Class Dining Saloon,1912-04-12,meat,dinner
827a11d9-04e9-4074-962b-65339f16ab54,Café Parisien,1912-04-13,meat,breakfast
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-13,vegetarian,lunch
827a11d9-04e9-4074-962b-65339f16ab54,The Ritz,1912-04-13,meat,dinner
827a11d9-04e9-4074-962b-65339f16ab54,The Ritz,1912-04-14,poultry,breakfast
827a11d9-04e9-4074-962b-65339f16ab54,Café Parisien,1912-04-14,fish,lunch
827a11d9-04e9-4074-962b-65339f16ab54,Verandah Cafe,1912-04-14,fish,dinner
46ddcb61-0c04-47b6-9107-a062a82b41fa,Third-Class Dining Room,1912-04-10,fish,breakfast
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-10,fish,breakfast
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Verandah Cafe,1912-04-10,fish,lunch
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-10,poultry,dinner
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-11,fish,breakfast
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,The Ritz,1912-04-11,fish,lunch
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-11,poultry,dinner
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-12,vegetarian,lunch
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,First-Class Dining Saloon,1912-04-12,meat,dinner
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Verandah Cafe,1912-04-13,fish,breakfast
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,The Ritz,1912-04-13,meat,dinner
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-14,poultry,breakfast
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,Café Parisien,1912-04-14,vegetarian,lunch
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,First-Class Dining Saloon,1912-04-10,meat,breakfast
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,First-Class Dining Saloon,1912-04-10,poultry,lunch
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Café Parisien,1912-04-10,poultry,dinner
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Verandah Cafe,1912-04-11,vegetarian,breakfast
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Verandah Cafe,1912-04-12,vegetarian,breakfast
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,First-Class Dining Saloon,1912-04-12,poultry,lunch
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Verandah Cafe,1912-04-13,vegetarian,breakfast
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Verandah Cafe,1912-04-13,fish,lunch
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Café Parisien,1912-04-13,vegetarian,dinner
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Verandah Cafe,1912-04-14,fish,breakfast
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Café Parisien,1912-04-14,fish,lunch
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,Café Parisien,1912-04-14,meat,dinner
8083c78e-a3bd-43dc-ba9b-e0c83af75312,Third-Class Dining Room,1912-04-10,meat,breakfast
8083c78e-a3bd-43dc-ba9b-e0c83af75312,Third-Class Dining Room,1912-04-13,poultry,lunch
8083c78e-a3bd-43dc-ba9b-e0c83af75312,Third-Class Dining Room,1912-04-14,poultry,dinner
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-11,meat,breakfast
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-11,meat,lunch
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-11,meat,dinner
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-12,poultry,breakfast
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-12,fish,lunch
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-13,meat,breakfast
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-13,vegetarian,dinner
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-14,vegetarian,lunch
45d7967a-c215-4735-b145-5d9599102d06,Second-Class Dining Saloon,1912-04-14,poultry,dinner
abd59e83-7498-40a1-b250-385e4541c3e2,The Ritz,1912-04-10,vegetarian,breakfast
abd59e83-7498-40a1-b250-385e4541c3e2,Verandah Cafe,1912-04-10,meat,lunch
abd59e83-7498-40a1-b250-385e4541c3e2,First-Class Dining Saloon,1912-04-10,fish,dinner
abd59e83-7498-40a1-b250-385e4541c3e2,The Ritz,1912-04-11,vegetarian,dinner
abd59e83-7498-40a1-b250-385e4541c3e2,Verandah Cafe,1912-04-12,poultry,breakfast
abd59e83-7498-40a1-b250-385e4541c3e2,Café Parisien,1912-04-12,vegetarian,lunch
abd59e83-7498-40a1-b250-385e4541c3e2,Café Parisien,1912-04-12,poultry,dinner
abd59e83-7498-40a1-b250-385e4541c3e2,Verandah Cafe,1912-04-13,vegetarian,breakfast
abd59e83-7498-40a1-b250-385e4541c3e2,First-Class Dining Saloon,1912-04-13,poultry,lunch
abd59e83-7498-40a1-b250-385e4541c3e2,First-Class Dining Saloon,1912-04-13,poultry,dinner
abd59e83-7498-40a1-b250-385e4541c3e2,Verandah Cafe,1912-04-14,vegetarian,breakfast
abd59e83-7498-40a1-b250-385e4541c3e2,The Ritz,1912-04-14,poultry,lunch
abd59e83-7498-40a1-b250-385e4541c3e2,The Ritz,1912-04-14,meat,dinner
40be1512-f7fb-4c42-80a6-c510d55d15c8,Verandah Cafe,1912-04-10,meat,breakfast
40be1512-f7fb-4c42-80a6-c510d55d15c8,Verandah Cafe,1912-04-10,fish,lunch
40be1512-f7fb-4c42-80a6-c510d55d15c8,Verandah Cafe,1912-04-10,vegetarian,dinner
40be1512-f7fb-4c42-80a6-c510d55d15c8,Verandah Cafe,1912-04-11,fish,breakfast
40be1512-f7fb-4c42-80a6-c510d55d15c8,First-Class Dining Saloon,1912-04-11,fish,dinner
40be1512-f7fb-4c42-80a6-c510d55d15c8,Café Parisien,1912-04-12,meat,breakfast
40be1512-f7fb-4c42-80a6-c510d55d15c8,First-Class Dining Saloon,1912-04-12,meat,lunch
40be1512-f7fb-4c42-80a6-c510d55d15c8,The Ritz,1912-04-12,meat,dinner
40be1512-f7fb-4c42-80a6-c510d55d15c8,Verandah Cafe,1912-04-13,vegetarian,breakfast
40be1512-f7fb-4c42-80a6-c510d55d15c8,The Ritz,1912-04-13,poultry,lunch
40be1512-f7fb-4c42-80a6-c510d55d15c8,The Ritz,1912-04-13,fish,dinner
40be1512-f7fb-4c42-80a6-c510d55d15c8,First-Class Dining Saloon,1912-04-14,meat,lunch
40be1512-f7fb-4c42-80a6-c510d55d15c8,Café Parisien,1912-04-14,poultry,dinner
77dd9f59-9055-4531-8678-ab010e17df35,Third-Class Dining Room,1912-04-10,poultry,lunch
29dbeaa4-25bd-44fb-b037-5fab42d8f510,Third-Class Dining Room,1912-04-11,fish,dinner
29dbeaa4-25bd-44fb-b037-5fab42d8f510,Third-Class Dining Room,1912-04-12,fish,breakfast
29dbeaa4-25bd-44fb-b037-5fab42d8f510,Third-Class Dining Room,1912-04-12,meat,lunch
cacb0b79-dd72-4f75-a4a4-687f1098af74,Third-Class Dining Room,1912-04-10,fish,lunch
cacb0b79-dd72-4f75-a4a4-687f1098af74,Third-Class Dining Room,1912-04-11,vegetarian,breakfast
a00737e8-52fc-43af-9675-82d76438b466,Third-Class Dining Room,1912-04-13,poultry,breakfast
a00737e8-52fc-43af-9675-82d76438b466,Third-Class Dining Room,1912-04-13,vegetarian,dinner
d4649521-ea99-499e-ae92-718824299df2,Third-Class Dining Room,1912-04-11,fish,lunch
d4649521-ea99-499e-ae92-718824299df2,Third-Class Dining Room,1912-04-12,poultry,dinner
d4649521-ea99-499e-ae92-718824299df2,Third-Class Dining Room,1912-04-13,vegetarian,dinner
dde74231-103e-44dd-af35-6f5b13d7dbed,Second-Class Dining Saloon,1912-04-10,meat,lunch
dde74231-103e-44dd-af35-6f5b13d7dbed,Second-Class Dining Saloon,1912-04-10,fish,dinner
dde74231-103e-44dd-af35-6f5b13d7dbed,Second-Class Dining Saloon,1912-04-11,fish,dinner
dde74231-103e-44dd-af35-6f5b13d7dbed,Second-Class Dining Saloon,1912-04-12,fish,breakfast
8afde8cf-b597-4784-8728-aa27ac394e09,Third-Class Dining Room,1912-04-12,poultry,breakfast
8afde8cf-b597-4784-8728-aa27ac394e09,Third-Class Dining Room,1912-04-13,poultry,breakfast
8afde8cf-b597-4784-8728-aa27ac394e09,Third-Class Dining Room,1912-04-14,fish,breakfast
baf0c757-c7f3-4bcf-aef4-88db7cad1e4a,Second-Class Dining Saloon,1912-04-12,vegetarian,dinner
baf0c757-c7f3-4bcf-aef4-88db7cad1e4a,Second-Class Dining Saloon,1912-04-13,fish,breakfast
d7ba2ec6-8348-4c88-b685-61bbbcf0440f,Third-Class Dining Room,1912-04-14,meat,dinner
0d0596f8-b755-4d2b-8785-9d99cab87fc0,Third-Class Dining Room,1912-04-13,fish,dinner
0d0596f8-b755-4d2b-8785-9d99cab87fc0,Third-Class Dining Room,1912-04-14,fish,lunch
40ac5be0-49eb-4a19-a7bd-5bbbb77a7097,Third-Class Dining Room,1912-04-13,poultry,breakfast
0ec8adf1-1bd4-476f-b213-82eb38d1f939,Third-Class Dining Room,1912-04-13,poultry,lunch
0ec8adf1-1bd4-476f-b213-82eb38d1f939,Third-Class Dining Room,1912-04-14,meat,lunch
6aa375c9-5329-43f8-b1e7-0b7299c45402,Third-Class Dining Room,1912-04-11,fish,breakfast
e0453653-d562-4e83-8eff-7b23499af1cd,Third-Class Dining Room,1912-04-10,poultry,breakfast
e0453653-d562-4e83-8eff-7b23499af1cd,Third-Class Dining Room,1912-04-10,poultry,lunch
e0453653-d562-4e83-8eff-7b23499af1cd,Third-Class Dining Room,1912-04-11,vegetarian,lunch
e0453653-d562-4e83-8eff-7b23499af1cd,Third-Class Dining Room,1912-04-14,vegetarian,breakfast
70fcffa2-4dfb-4421-ae87-89a26cab62df,Third-Class Dining Room,1912-04-14,poultry,dinner
ca906c3e-37ce-43f6-a465-f45374a0d90c,Third-Class Dining Room,1912-04-11,vegetarian,dinner
ca906c3e-37ce-43f6-a465-f45374a0d90c,Third-Class Dining Room,1912-04-12,poultry,lunch
c941453d-96be-4e28-93e2-4f57159fecea,The Ritz,1912-04-10,meat,lunch
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-10,meat,dinner
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-11,poultry,breakfast
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-11,meat,lunch
c941453d-96be-4e28-93e2-4f57159fecea,Café Parisien,1912-04-11,poultry,dinner
c941453d-96be-4e28-93e2-4f57159fecea,First-Class Dining Saloon,1912-04-12,vegetarian,breakfast
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-12,vegetarian,lunch
c941453d-96be-4e28-93e2-4f57159fecea,The Ritz,1912-04-12,meat,dinner
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-13,fish,breakfast
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-13,meat,lunch
c941453d-96be-4e28-93e2-4f57159fecea,Verandah Cafe,1912-04-14,poultry,lunch
c941453d-96be-4e28-93e2-4f57159fecea,The Ritz,1912-04-14,meat,dinner
ae1babd1-fd1a-47e5-bdb9-8592a4c3c2a2,Second-Class Dining Saloon,1912-04-11,fish,dinner
ae1babd1-fd1a-47e5-bdb9-8592a4c3c2a2,Second-Class Dining Saloon,1912-04-12,meat,lunch
ae1babd1-fd1a-47e5-bdb9-8592a4c3c2a2,Second-Class Dining Saloon,1912-04-14,fish,breakfast
ae1babd1-fd1a-47e5-bdb9-8592a4c3c2a2,Second-Class Dining Saloon,1912-04-14,meat,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,Café Parisien,1912-04-10,poultry,breakfast
6208f084-a12a-46e8-90b0-783bc25775e4,The Ritz,1912-04-10,meat,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,First-Class Dining Saloon,1912-04-10,meat,dinner
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-11,poultry,breakfast
6208f084-a12a-46e8-90b0-783bc25775e4,The Ritz,1912-04-11,poultry,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-11,meat,dinner
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-12,vegetarian,breakfast
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-12,meat,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-13,fish,breakfast
6208f084-a12a-46e8-90b0-783bc25775e4,The Ritz,1912-04-13,meat,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,Verandah Cafe,1912-04-14,poultry,breakfast
6208f084-a12a-46e8-90b0-783bc25775e4,Café Parisien,1912-04-14,meat,lunch
6208f084-a12a-46e8-90b0-783bc25775e4,Café Parisien,1912-04-14,meat,dinner
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,Verandah Cafe,1912-04-10,meat,breakfast
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,Verandah Cafe,1912-04-10,poultry,dinner
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,Verandah Cafe,1912-04-11,fish,breakfast
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,Café Parisien,1912-04-11,fish,lunch
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,The Ritz,1912-04-11,fish,dinner
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,Café Parisien,1912-04-12,vegetarian,lunch
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,The Ritz,1912-04-12,poultry,dinner
dab0b8e1-a724-4bc0-af1b-0c9adc86cfa9,The Ritz,1912-04-13,fish,breakfast
